"Date","Open","High","Low","Close Close price adjusted for splits.","Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.","Volume"
"Jul 1, 2014","1,495.00","1,516.00","1,465.70","1,465.70","1,465.70","453"
"May 1, 2014","1,426.20","1,495.50","1,426.20","1,454.70","1,454.70","141"
"Apr 1, 2014","1,418.50","1,468.30","1,399.60","1,426.60","1,426.60","657"
"Mar 1, 2014","1,460.10","1,486.20","1,396.70","1,418.50","1,418.50","17,874"
"Feb 1, 2014","1,385.00","1,452.80","1,371.80","1,446.20","1,446.20","-"
"Jan 1, 2014","1,376.10","1,461.70","1,374.10","1,374.10","1,374.10","446"
"Nov 1, 2013","1,449.40","1,465.60","1,351.20","1,367.90","1,367.90","3"
"Oct 1, 2013","1,395.00","1,477.40","1,366.00","1,445.90","1,445.90","1,170"
"Aug 1, 2013","1,442.90","1,543.60","1,426.90","1,526.20","1,526.20","-"
"Jul 1, 2013","1,338.60","1,462.00","1,324.40","1,428.40","1,428.40","707"
"Jun 1, 2013","1,496.20","1,528.10","1,295.40","1,336.90","1,336.90","21,743"
"May 1, 2013","1,468.70","1,516.50","1,451.80","1,460.60","1,460.60","3"
"Apr 1, 2013","1,571.20","1,601.30","1,411.60","1,505.40","1,505.40","558"
"Mar 1, 2013","1,571.00","1,601.90","1,554.40","1,571.20","1,571.20","19,390"
"Feb 1, 2013","1,686.20","1,736.50","1,582.40","1,582.40","1,582.40","22"
"Jan 1, 2013","1,539.50","1,698.40","1,536.60","1,673.90","1,673.90","2,153"
"Dec 1, 2012","1,612.30","1,644.90","1,515.30","1,538.70","1,538.70","14,643"
"Nov 1, 2012","1,570.70","1,660.00","1,522.50","1,603.10","1,603.10","60"
"Oct 1, 2012","1,661.00","1,731.20","1,531.90","1,576.00","1,576.00","488"
"Sep 1, 2012","1,566.50","1,712.70","1,566.50","1,665.30","1,665.30","17,972"
"Aug 1, 2012","1,399.80","1,560.70","1,386.30","1,536.30","1,536.30","20"
"Jun 1, 2012","1,431.70","1,486.10","1,382.00","1,449.10","1,449.10","18,715"
"May 1, 2012","1,568.10","1,568.10","1,399.70","1,416.10","1,416.10","33"
"Mar 1, 2012","1,699.60","1,700.30","1,610.40","1,638.30","1,638.30","13,888"
"Feb 1, 2012","1,620.60","1,722.00","1,620.60","1,691.10","1,691.10","40"
"Dec 1, 2011","1,556.20","1,556.20","1,347.00","1,399.70","1,399.70","11,475"
"Nov 1, 2011","1,572.00","1,670.60","1,531.60","1,559.80","1,559.80","288"
"Oct 1, 2011","1,518.30","1,641.80","1,440.00","1,597.60","1,597.60","433"
"Sep 1, 2011","1,852.90","1,884.80","1,500.10","1,519.40","1,519.40","16,345"
"Aug 1, 2011","1,794.60","1,976.70","1,702.00","1,856.20","1,856.20","31"
"Jul 1, 2011","1,712.70","1,810.40","1,705.00","1,785.30","1,785.30","266"
"Jun 1, 2011","1,823.90","1,833.00","1,673.00","1,724.80","1,724.80","9,175"
"Apr 1, 2011","1,774.70","1,847.00","1,755.00","1,871.50","1,871.50","170"
"Mar 1, 2011","1,845.10","1,859.30","1,700.50","1,779.30","1,779.30","8,968"
"Feb 1, 2011","1,829.60","1,858.50","1,783.20","1,809.20","1,809.20","28"
"Jan 1, 2011","1,774.00","1,845.80","1,715.00","1,797.50","1,797.50","631"
"Dec 1, 2010","1,668.00","1,774.00","1,668.00","1,773.30","1,773.30","5,320"
"Nov 1, 2010","1,725.00","1,804.60","1,620.00","1,650.40","1,650.40","34"
"Oct 1, 2010","1,658.60","1,714.90","1,658.60","1,705.10","1,705.10","279"
"Sep 1, 2010","1,535.70","1,659.90","1,535.70","1,652.00","1,652.00","8,624"
"Jul 1, 2010","1,503.30","1,574.80","1,493.30","1,576.80","1,576.80","461"
"Jun 1, 2010","1,547.40","1,618.10","1,500.00","1,530.90","1,530.90","8,176"
"May 1, 2010","1,728.90","1,745.30","1,489.90","1,547.40","1,547.40","27"
"Apr 1, 2010","1,669.80","1,755.00","1,645.50","1,745.10","1,745.10","790"
"Mar 1, 2010","1,542.10","1,646.60","1,542.10","1,639.80","1,639.80","10,807"
"Feb 1, 2010","1,534.60","1,574.50","1,471.30","1,538.00","1,538.00","650"
"Jan 1, 2010","1,477.20","1,638.50","1,477.20","1,501.30","1,501.30","585"
"Dec 1, 2009","1,485.70","1,505.30","1,396.10","1,460.00","1,460.00","3,604"
"Oct 1, 2009","1,298.50","1,368.40","1,270.30","1,297.40","1,297.40","424"
"Sep 1, 2009","1,278.40","1,301.10","1,265.50","1,295.60","1,295.60","3,300"
"Jul 1, 2009","1,173.10","1,218.10","1,090.00","1,167.60","1,167.60","6,895"
"Jun 1, 2009","1,199.80","1,200.00","1,165.50","1,176.70","1,176.70","1,391"
"Apr 1, 2009","1,129.40","1,242.30","1,078.10","1,096.10","1,096.10","3,985"
"Jan 1, 2009","932.40","1,000.50","914.00","960.00","960.00","3,453"
"Dec 1, 2008","916.70","943.30","897.60","936.20","936.20","1,205"
"Oct 1, 2008","1,003.00","1,045.00","761.80","811.10","811.10","2,331"
"Sep 1, 2008","1,125.00","1,135.00","995.20","1,015.10","1,015.10","1,642"
"Jul 1, 2008","2,084.10","2,089.60","1,716.80","1,750.30","1,750.30","3,077"
"Apr 1, 2008","1,928.80","2,066.30","1,880.00","1,970.60","1,970.60","3,467"
"Mar 1, 2008","2,216.60","2,251.10","1,852.30","2,024.40","2,024.40","3,914"
"Feb 1, 2008","2,115.00","2,163.20","2,113.80","2,155.70","2,155.70","1"
"Jan 1, 2008","1,529.90","1,746.10","1,523.60","1,736.90","1,736.90","734"
"Dec 1, 2007","1,525.40","1,539.00","1,513.00","1,528.40","1,528.40","2,127"
"Oct 1, 2007","1,407.50","1,473.30","1,355.00","1,468.00","1,468.00","4,826"
"Sep 1, 2007","1,273.70","1,395.50","1,273.00","1,395.20","1,395.20","6,583"
"Aug 1, 2007","1,288.90","1,297.00","1,228.00","1,271.60","1,271.60","-"
"Jun 1, 2007","1,273.50","1,285.00","1,273.50","1,279.00","1,279.00","1,699"
"Mar 1, 2007","1,241.00","1,252.20","1,234.00","1,248.30","1,248.30","1,635"
"Feb 1, 2007","1,193.00","1,193.00","1,193.00","1,193.00","1,193.00","3,081"
"Jan 1, 2007","1,147.00","1,194.00","1,119.00","1,180.70","1,180.70","324"
"Dec 1, 2006","1,118.00","1,142.00","1,110.00","1,139.30","1,139.30","1,205"
"Nov 1, 2006","1,154.00","1,154.00","1,147.40","1,150.60","1,150.60","2,097"
"Sep 1, 2006","1,149.00","1,165.00","1,131.50","1,141.20","1,141.20","2,545"
