"Date","Open","High","Low","Close Close price adjusted for splits.","Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.","Volume"
"Aug 1, 2011","828.50","828.50","727.50","788.10","788.10","6,235"
"Jul 1, 2011","756.45","834.85","756.45","826.70","826.70","450"
"Jun 1, 2011","772.00","818.05","720.05","759.40","759.40","809"
"Apr 1, 2011","775.05","792.00","730.80","791.95","791.95","72"
"Mar 1, 2011","798.00","821.90","696.00","767.90","767.90","708"
"Feb 1, 2011","822.45","857.25","774.30","797.65","797.65","11,507"
"Jan 1, 2011","800.40","819.00","748.10","819.00","819.00","167"
"Dec 1, 2010","702.00","803.30","701.50","803.30","803.30","478"
"Nov 1, 2010","644.10","741.65","641.70","700.95","700.95","8,702"
"Oct 1, 2010","571.25","645.10","561.30","645.10","645.10","714"
"Sep 1, 2010","518.35","571.25","503.35","571.25","571.25","594"
"Jul 1, 2010","429.05","500.00","426.90","500.00","500.00","38"
"Jun 1, 2010","464.00","499.10","421.75","444.40","444.40","1,514"
"May 1, 2010","547.25","547.25","407.95","461.85","461.85","8,804"
"Apr 1, 2010","489.55","567.45","489.55","554.75","554.75","184"
"Mar 1, 2010","436.50","478.15","432.10","478.15","478.15","479"
"Feb 1, 2010","442.10","442.10","414.50","432.40","432.40","7,610"
"Jan 1, 2010","419.80","461.80","416.50","416.50","416.50","12"
"Dec 1, 2009","381.55","407.25","350.05","407.25","407.25","347"
"Oct 1, 2009","292.30","340.85","292.30","316.75","316.75","8,303"
"Sep 1, 2009","294.90","306.70","282.60","298.55","298.55","899"
"Aug 1, 2009","287.35","293.45","283.70","291.80","291.80","1,850"
"Jun 1, 2009","237.00","264.00","230.90","247.00","247.00","2,108"
"May 1, 2009","213.80","242.20","213.80","236.05","236.05","4,405"
"Apr 1, 2009","221.60","242.35","216.75","218.10","218.10","1"
"Jan 1, 2009","190.00","194.05","173.40","184.50","184.50","2"
"Dec 1, 2008","188.90","188.90","160.00","186.65","186.65","441"
"Nov 1, 2008","201.60","223.30","178.15","192.60","192.60","4,479"
"Oct 1, 2008","188.25","198.55","157.75","198.55","198.55","10"
"Sep 1, 2008","304.85","304.95","224.55","224.55","224.55","404"
"Aug 1, 2008","288.80","303.50","288.50","303.80","303.80","1,194"
"Jul 1, 2008","472.05","472.05","383.00","383.35","383.35","2,695"
"May 1, 2008","435.00","437.10","424.00","435.00","435.00","2,397"
"Mar 1, 2008","574.85","595.10","432.00","452.50","452.50","3,714"
"Feb 1, 2008","552.55","585.15","537.10","571.95","571.95","1,443"
"Dec 1, 2007","343.65","368.00","343.15","365.05","365.05","5,414"
"Nov 1, 2007","343.65","349.70","338.00","348.65","348.65","1,637"
"Sep 1, 2007","331.85","341.90","330.50","341.90","341.90","2,452"
"Aug 1, 2007","330.00","334.30","325.15","333.50","333.50","3,348"
"Jun 1, 2007","370.00","377.85","363.70","364.15","364.15","181"
"May 1, 2007","365.00","369.30","362.00","368.00","368.00","3,865"
"Mar 1, 2007","351.10","355.80","340.00","354.35","354.35","4,842"
"Feb 1, 2007","340.60","358.90","332.50","351.10","351.10","35,868"
"Jan 1, 2007","343.55","343.55","332.00","340.55","340.55","3,707"
"Dec 1, 2006","325.85","330.00","320.00","326.40","326.40","1,666"
"Nov 1, 2006","336.00","336.00","315.00","329.35","329.35","6,164"
"Sep 1, 2006","341.00","354.05","302.00","316.20","316.20","629"
"Aug 1, 2006","325.50","342.00","325.50","343.20","343.20","4,226"
"Jun 1, 2006","330.00","363.00","271.00","309.50","309.50","976"
"May 1, 2006","373.75","409.00","328.10","347.25","347.25","42,119"
"Apr 1, 2006","337.70","378.00","328.00","377.05","377.05","21,649"
"Mar 1, 2006","290.00","355.80","275.50","336.80","336.80","5,365"
"Feb 1, 2006","297.00","327.00","267.70","289.30","289.30","38,332"
"Dec 1, 2005","255.25","297.10","247.00","263.45","263.45","895"
"Nov 1, 2005","232.00","270.10","220.00","255.50","255.50","28,532"
"Oct 1, 2005","208.25","233.75","206.50","227.15","227.15","2,720"
"Sep 1, 2005","181.60","202.00","181.60","199.65","199.65","669"
"Aug 1, 2005","195.00","197.00","180.10","181.95","181.95","25,194"
"Jul 1, 2005","181.10","205.00","170.20","194.60","194.60","15,675"
"Jun 1, 2005","181.50","191.00","180.50","181.95","181.95","3,069"
"Apr 1, 2005","203.00","207.00","194.05","197.90","197.90","11,848"
"Mar 1, 2005","182.25","215.00","182.00","203.55","203.55","2,013"
"Feb 1, 2005","190.20","193.50","177.00","183.05","183.05","20,741"
"Jan 1, 2005","181.70","195.90","177.50","190.40","190.40","7,142"
